REGION,K-12 SCHOOLS,DIVISION,DATE ANNOUNCED,Earliest Exposure,Earliest + 14 days,Lastest + 14 days,POSSIBLE OUTBREAK,CASES,Total Cases,GRADE LEVELS,DAYS OF EXPOSURE,,,,,,,,,,,,,,,,,,
WINNIPEG,"Centre Scolaire Léo-Rémillard
(1095 St Anne's Rd)",DSFM,"October 24, 2020","October 16, 2020","October 30, 2020","November 13, 2020",1,3,23,9-12,28,,,,,,,,,,,,,,,,,,
WINNIPEG,"St John's-Ravenscourt School 
 (400 South Drive)",INDEPENDENT,"October 6, 2020",September 30,October 14,November 16,1,1,5,K-12,47,,,,,,,,,,,,,,,,,,
WINNIPEG,"Glenlawn Collegiate 
 (770 St Mary's Rd)",LRSD,"October 26, 2020","October 13, 2020","October 27, 2020",November 16,1,1,8,9-12,34,,,,,,,,,,,,,,,,,,
WINNIPEG,"O.V. Jewitt Community School
 (6 Neville Street)",SOSD,"November 1, 2020?",October 19,November 2,November 16,1,1,2,K-8,28,,,,,,,,,,,,,,,,,,
WINNIPEG,"Dakota Collegiate Institute
 (661 Dakota St.)",LRSD,"October 12, 2020","October 6, 2020","October 20, 2020",November 16,1,1,7,9-12,41,,,,,,,,,,,,,,,,,,
WINNIPEG,"River East Collegiate School 
 (295 Sutton Ave.)",RETSD,"November 8, 2020",November 2,November 17,2020-11-17,1,1,2,9-12,15,,,,,,,,,,,,,,,,,,
WINNIPEG,"Sisler High School 
 (1360 Redwood Ave)",WSD,"October 18, 2020",October 8,October 22,November 17,1,1,4,9-12,40,,,,,,,,,,,,,,,,,,
WINNIPEG,"Bird’s Hill School
 (Raleigh St. in East St Paul)",RETSD,"November 3, 2020","November 3, 2020","November 17, 2020","November 17, 2020",1,6,6,K-5,14,,,,,,,,,,,,,,,,,,
WINNIPEG,"Amber Trails Schools 
 (1575 Templeton Ave.)",SOSD,"November 2, 2020",October 26,November 9,November 17,1,1,2,K-8,22,,,,,,,,,,,,,,,,,,
WINNIPEG,"École Templeton
 (1310 Templeton Ave.)",SOSD,"November 9, 2020",November 3,November 17,November 17,0,1,1,K-5,14,,,,,,,,,,,,,,,,,,
